A man speaks with a low sad expression, keeping his gaze forward and steady. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A teen boy talks in a steady beat, presenting a high guilty look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A teen girl speaks in a light cadence, carrying a strong guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male teacher talks in a light cadence, revealing a very strong guilty demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female teacher speaks with poised delivery, with a high-energy guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male doctor talks with poised delivery, showing a amplified guilty look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female doctor speaks with upbeat delivery, featuring a heightened guilty demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male engineer talks with upbeat delivery, keeping a high guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female engineer speaks in a composed manner, wearing a strong guilty look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male student talks in a composed manner, sustaining a very strong guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female student speaks in a confident manner, carrying a high-energy guilty tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male athlete talks in a confident manner, with a amplified guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female athlete speaks like a host, paired with a heightened guilty demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male artist speaks like a teacher, marked by a high guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female artist speaks like a coach, showing a strong guilty look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male scientist speaks like a guide, with a very strong guilty tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female scientist states the key line, under a high-energy guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male singer concludes a sentence, keeping a amplified guilty look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female singer leads into the next line, holding a heightened guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male presenter cues the next idea, revealing a high guilty demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female presenter begins the thought, with a strong guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male chef continues the thought, showing a very strong guilty look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female chef finishes the thought, maintaining a high-energy guilty demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male office worker speaks with a amplified guilty expression, keeping his gaze forward and steady. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female office worker continues speaking, a heightened guilty tone shaping each line. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male interviewer talks with clear diction, showing a high guilty demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female interviewer delivers a short line, marked by a strong guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male gamer gives a brief remark, sustained by a very strong guilty look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female gamer speaks in an even cadence, carrying a high-energy guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male vlogger talks at a natural pace, with a amplified guilty expression throughout. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female vlogger presents remarks, voice colored by a heightened guilty tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male news anchor narrates a sentence, maintaining a high guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female news anchor explains the point, showing a strong guilty look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male professor speaks with measured delivery, revealing a very strong guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female professor talks with lively delivery, framed by a high-energy guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A male customer support agent shares a thought, under a amplified guilty expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A female customer support agent offers a line, the heightened guilty tone consistent. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #guilty_intense
A man continues a short monologue, keeping a low ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A woman provides commentary, pairing it with a subtle ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A boy outlines a point, with a slight ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A girl introduces the next idea, keeping a faint ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A lady makes a brief announcement, showing a low-key ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A gentleman speaks in concise phrases, under a low ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
An old man talks in steady phrases, with a subtle ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
An old woman adds a sentence, voice carrying a slight ashamed tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A young man elaborates briefly, maintaining a faint ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A young woman comments succinctly, under a low-key ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A middle-aged man clarifies a detail, with a low ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A middle-aged woman speaks with crisp articulation, showing a subtle ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
An elderly man talks with soft articulation, holding a slight ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
An elderly woman speaks with steady voice, keeping a faint ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A teen boy talks with gentle voice, presenting a low-key ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A teen girl speaks in a calm rhythm, under a low ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male teacher talks in a confident rhythm, showing a subtle ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female teacher delivers a short statement, paired with a slight ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male doctor reads a line aloud, featuring a faint ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female doctor recites a brief line, with a low-key ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male engineer speaks in brief clauses, keeping a low ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female engineer talks in brief clauses, maintaining a subtle ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male student speaks as if presenting, marked by a slight ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female student speaks as if briefing, with a faint ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male athlete speaks as if teaching, under a low-key ashamed tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female athlete speaks as if hosting, carrying a low ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male artist recounts a line, revealing a subtle ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female artist summarizes briefly, with a slight ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male scientist paraphrases a point, showing a faint ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female scientist emphasizes a word, the low-key ashamed tone evident. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male singer pauses, then continues speaking with a low ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female singer enunciates carefully, carrying a subtle ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male presenter articulates clearly, sustaining a slight ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female presenter speaks fluidly, with a faint ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male chef talks fluidly, showing a low-key ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female chef speaks steadily, keeping a low ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male office worker talks steadily, maintaining a subtle ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female office worker speaks naturally, with a slight ashamed tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male interviewer talks naturally, under a faint ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female interviewer speaks in a warm cadence, revealing a low-key ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male gamer talks in a warm cadence, keeping a low ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female gamer speaks with gentle emphasis, bearing a subtle ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male vlogger talks with gentle emphasis, showing a slight ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female vlogger speaks with bright energy, paired with a faint ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male news anchor talks with bright energy, sustaining a low-key ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female news anchor speaks with measured energy, featuring a low ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male professor talks with measured energy, with a subtle ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female professor speaks in short beats, keeping a slight ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A male customer support agent talks in short beats, under a faint ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A female customer support agent speaks in linked phrases, holding a low-key ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_subtle
A man talks in linked phrases, showing a medium ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A woman speaks in a steady beat, with a noticeable ashamed tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A boy talks in a steady beat, presenting a evident ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A girl speaks in a light cadence, carrying a moderate ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A lady talks in a light cadence, revealing a medium ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A gentleman speaks with poised delivery, with a noticeable ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
An old man talks with poised delivery, showing a evident ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
An old woman speaks with upbeat delivery, featuring a moderate ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A young man talks with upbeat delivery, keeping a medium ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A young woman speaks in a composed manner, wearing a noticeable ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A middle-aged man talks in a composed manner, sustaining a evident ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A middle-aged woman speaks in a confident manner, carrying a moderate ashamed tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
An elderly man talks in a confident manner, with a medium ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
An elderly woman speaks like a host, paired with a noticeable ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A teen boy speaks like a teacher, marked by a evident ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A teen girl speaks like a coach, showing a moderate ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A male teacher speaks like a guide, with a medium ashamed tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A female teacher states the key line, under a noticeable ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A male doctor concludes a sentence, keeping a evident ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A female doctor leads into the next line, holding a moderate ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A male engineer cues the next idea, revealing a medium ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A female engineer begins the thought, with a noticeable ashamed expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A male student continues the thought, showing a evident ashamed look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A female student finishes the thought, maintaining a moderate ashamed demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
A male athlete speaks with a medium ashamed expression, keeping his gaze forward and steady. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #ashamed_distinct
